protocol.cpp,protocol.cpp,1728,260,18
policy.cpp,policy.cpp,508,372,356
rbf.cpp,rbf.cpp,88,80,67
block.cpp,block.cpp,4,12,3
transaction.cpp,transaction.cpp,4,64,3
addressbookpage.cpp,addressbookpage.cpp,124,1684,20
addresstablemodel.cpp,addresstablemodel.cpp,420,2820,169
askpassphrasedialog.cpp,askpassphrasedialog.cpp,16,1528,12
bantablemodel.cpp,bantablemodel.cpp,60,908,25
bitcoin.cpp,bitcoin.cpp,704,2252,116
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,4,76,3
bitcoinamountfield.cpp,bitcoinamountfield.cpp,192,716,188
bitcoingui.cpp,bitcoingui.cpp,56,5764,52
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,4,1000,3
clientmodel.cpp,clientmodel.cpp,204,1600,68
coincontroldialog.cpp,coincontroldialog.cpp,4,31392,3
coincontroltreewidget.cpp,coincontroltreewidget.cpp,4,364,3
csvmodelwriter.cpp,csvmodelwriter.cpp,52,300,48
editaddressdialog.cpp,editaddressdialog.cpp,4,584,3
guiutil.cpp,guiutil.cpp,8,1296,5
intro.cpp,intro.cpp,204,800,158
modaloverlay.cpp,modaloverlay.cpp,4,832,3
networkstyle.cpp,networkstyle.cpp,20,312,16
notificator.cpp,notificator.cpp,4,304,3
openuridialog.cpp,openuridialog.cpp,4,1232,3
optionsdialog.cpp,optionsdialog.cpp,4,880,3
optionsmodel.cpp,optionsmodel.cpp,168,892,29
overviewpage.cpp,overviewpage.cpp,4,2836,3
paymentrequestplus.cpp,paymentrequestplus.cpp,24,700,20
paymentserver.cpp,paymentserver.cpp,148,3648,74
peertablemodel.cpp,peertablemodel.cpp,76,1032,30
platformstyle.cpp,platformstyle.cpp,116,496,112
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,4,476,3
qvaluecombobox.cpp,qvaluecombobox.cpp,4,112,3
receivecoinsdialog.cpp,receivecoinsdialog.cpp,4,3164,3
receiverequestdialog.cpp,receiverequestdialog.cpp,4,1904,3
recentrequeststablemodel.cpp,recentrequeststablemodel.cpp,4,2224,3
rpcconsole.cpp,rpcconsole.cpp,396,3844,92
sendcoinsdialog.cpp,sendcoinsdialog.cpp,60,4664,25
sendcoinsentry.cpp,sendcoinsentry.cpp,4,2400,3
signverifymessagedialog.cpp,signverifymessagedialog.cpp,4,2128,3
splashscreen.cpp,splashscreen.cpp,44,784,32
trafficgraphwidget.cpp,trafficgraphwidget.cpp,4,1480,3
transactiondesc.cpp,transactiondesc.cpp,4,2100,3
transactiondescdialog.cpp,transactiondescdialog.cpp,4,368,3
transactionfilterproxy.cpp,transactionfilterproxy.cpp,4,1100,3
transactionrecord.cpp,transactionrecord.cpp,4,564,3
transactiontablemodel.cpp,transactiontablemodel.cpp,648,4360,106
transactionview.cpp,transactionview.cpp,4,3872,3
utilitydialog.cpp,utilitydialog.cpp,1416,2784,1412
walletframe.cpp,walletframe.cpp,4,3544,3
walletmodel.cpp,walletmodel.cpp,140,33160,30
walletmodeltransaction.cpp,walletmodeltransaction.cpp,4,1248,3
walletview.cpp,walletview.cpp,4,6816,3
winshutdownmonitor.cpp,winshutdownmonitor.cpp,4,4,4
compattests.cpp,compattests.cpp,4,64,3
paymentservertests.cpp,paymentservertests.cpp,32,1648,26
test_main.cpp,test_main.cpp,172,172,26
uritests.cpp,uritests.cpp,4,32,3
blockchain.cpp,blockchain.cpp,2768,1604,202
client.cpp,client.cpp,176,144,114
mining.cpp,mining.cpp,1664,1428,207
misc.cpp,misc.cpp,640,1328,78
net.cpp,net.cpp,568,528,251
protocol.cpp,protocol.cpp,336,260,136
rawtransaction.cpp,rawtransaction.cpp,1604,1144,69
server.cpp,server.cpp,584,552,99
interpreter.cpp,interpreter.cpp,1796,2312,322
ismine.cpp,ismine.cpp,28,188,13
script.cpp,script.cpp,20,3272,14
script_error.cpp,script_error.cpp,28,860,15
sigcache.cpp,sigcache.cpp,28,176,10
sign.cpp,sign.cpp,1268,460,51
standard.cpp,standard.cpp,972,564,219
cleanse.cpp,cleanse.cpp,28,1800,14
addrman_tests.cpp,addrman_tests.cpp,188,76,58
allocator_tests.cpp,allocator_tests.cpp,8,96,5
amount_tests.cpp,amount_tests.cpp,4,4,4
arith_uint256_tests.cpp,arith_uint256_tests.cpp,844,844,844
base32_tests.cpp,base32_tests.cpp,4,4,4
base58_tests.cpp,base58_tests.cpp,8,24,7
base64_tests.cpp,base64_tests.cpp,4,4,4
bip32_tests.cpp,bip32_tests.cpp,112,108,81
blockencodings_tests.cpp,blockencodings_tests.cpp,140,124,77
bloom_tests.cpp,bloom_tests.cpp,4,4,4
bswap_tests.cpp,bswap_tests.cpp,4,4,4
coins_tests.cpp,coins_tests.cpp,664,24,20
compress_tests.cpp,compress_tests.cpp,52,52,52
crypto_tests.cpp,crypto_tests.cpp,8,8,8
crypto_tests.cpp,crypto_tests.cpp,8,452,5
dbwrapper_tests.cpp,dbwrapper_tests.cpp,40,40,40
getarg_tests.cpp,getarg_tests.cpp,52,32,25
hash_tests.cpp,hash_tests.cpp,8,8,8
key_tests.cpp,key_tests.cpp,40,40,40
limitedmap_tests.cpp,limitedmap_tests.cpp,4,4,4
main_tests.cpp,main_tests.cpp,124,124,124
mempool_tests.cpp,mempool_tests.cpp,4,4,4
merkle_tests.cpp,merkle_tests.cpp,596,364,358
miner_tests.cpp,miner_tests.cpp,1432,1504,1369
multisig_tests.cpp,multisig_tests.cpp,36,4,3
net_tests.cpp,net_tests.cpp,164,156,54
netbase_tests.cpp,netbase_tests.cpp,60,4,3
pmt_tests.cpp,pmt_tests.cpp,36,36,36
policyestimator_tests.cpp,policyestimator_tests.cpp,4,4,4
pow_tests.cpp,pow_tests.cpp,4,4,4
prevector_tests.cpp,prevector_tests.cpp,8,8,8
reverselock_tests.cpp,reverselock_tests.cpp,4,4,4
rpc_tests.cpp,rpc_tests.cpp,72,88,55
sanity_tests.cpp,sanity_tests.cpp,4,4,4
scheduler_tests.cpp,scheduler_tests.cpp,100,100,100
script_tests.cpp,script_tests.cpp,88,88,88
scriptnum_tests.cpp,scriptnum_tests.cpp,700,1044,121
serialize_tests.cpp,serialize_tests.cpp,92,4,3
sighash_tests.cpp,sighash_tests.cpp,260,260,260
sigopcount_tests.cpp,sigopcount_tests.cpp,4,4,4
skiplist_tests.cpp,skiplist_tests.cpp,4,4,4
streams_tests.cpp,streams_tests.cpp,4,4,4
test_bitcoin.cpp,test_bitcoin.cpp,52,672,22
timedata_tests.cpp,timedata_tests.cpp,4,4,4
transaction_tests.cpp,transaction_tests.cpp,128,112,61
txvalidationcache_tests.cpp,txvalidationcache_tests.cpp,472,120,88
uint256_tests.cpp,uint256_tests.cpp,1600,1600,1600
util_tests.cpp,util_tests.cpp,1184,8,5
versionbits_tests.cpp,versionbits_tests.cpp,760,632,384
gen.cpp,gen.cpp,2588,2588,2588
univalue.cpp,univalue.cpp,1836,2820,1770
univalue_read.cpp,univalue_read.cpp,5360,5332,3707
univalue_write.cpp,univalue_write.cpp,3372,3372,3372
unitester.cpp,unitester.cpp,5312,5284,4597
crypter.cpp,crypter.cpp,144,2924,76
db.cpp,db.cpp,580,2512,522
rpcdump.cpp,rpcdump.cpp,472,25784,84
rpcwallet.cpp,rpcwallet.cpp,7696,28908,117
wallet.cpp,wallet.cpp,444,236,65
walletdb.cpp,walletdb.cpp,88,1940,45
accounting_tests.cpp,accounting_tests.cpp,36,40,33
wallet_test_fixture.cpp,wallet_test_fixture.cpp,4,4,4
wallet_tests.cpp,wallet_tests.cpp,344,148,21
zmqabstractnotifier.cpp,zmqabstractnotifier.cpp,4,200,3
zmqnotificationinterface.cpp,zmqnotificationinterface.cpp,20,672,14
zmqpublishnotifier.cpp,zmqpublishnotifier.cpp,220,1056,124
