bench_bitcoin.cpp,bench_bitcoin.cpp,168,32,15
crypto_hash.cpp,crypto_hash.cpp,256,304,109
rollingbloom.cpp,rollingbloom.cpp,44,108,37
glibc_compat.cpp,glibc_compat.cpp,92,92,92
glibc_sanity.cpp,glibc_sanity.cpp,52,52,52
glibcxx_sanity.cpp,glibcxx_sanity.cpp,120,120,120
strnlen.cpp,strnlen.cpp,20,20,20
merkle.cpp,merkle.cpp,284,580,131
aes.cpp,aes.cpp,972,1800,968
hmac_sha256.cpp,hmac_sha256.cpp,908,908,908
hmac_sha512.cpp,hmac_sha512.cpp,908,908,908
ripemd160.cpp,ripemd160.cpp,908,908,908
sha1.cpp,sha1.cpp,908,908,908
sha256.cpp,sha256.cpp,1052,908,904
sha512.cpp,sha512.cpp,908,908,908
policy.cpp,policy.cpp,440,384,279
block.cpp,block.cpp,4,12,3
transaction.cpp,transaction.cpp,4,12,3
addressbookpage.cpp,addressbookpage.cpp,4,1560,3
addresstablemodel.cpp,addresstablemodel.cpp,420,2500,195
askpassphrasedialog.cpp,askpassphrasedialog.cpp,16,1272,12
bantablemodel.cpp,bantablemodel.cpp,56,848,23
bitcoin.cpp,bitcoin.cpp,596,2036,116
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,4,76,3
bitcoinamountfield.cpp,bitcoinamountfield.cpp,192,708,188
bitcoingui.cpp,bitcoingui.cpp,56,4388,52
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,4,932,3
clientmodel.cpp,clientmodel.cpp,208,1276,80
coincontroldialog.cpp,coincontroldialog.cpp,4,2892,3
coincontroltreewidget.cpp,coincontroltreewidget.cpp,4,364,3
csvmodelwriter.cpp,csvmodelwriter.cpp,52,300,48
editaddressdialog.cpp,editaddressdialog.cpp,8,576,5
guiutil.cpp,guiutil.cpp,8,1032,5
intro.cpp,intro.cpp,204,800,158
networkstyle.cpp,networkstyle.cpp,20,312,16
notificator.cpp,notificator.cpp,4,304,3
openuridialog.cpp,openuridialog.cpp,4,976,3
optionsdialog.cpp,optionsdialog.cpp,4,864,3
optionsmodel.cpp,optionsmodel.cpp,168,884,29
overviewpage.cpp,overviewpage.cpp,8,2332,7
paymentrequestplus.cpp,paymentrequestplus.cpp,24,700,20
paymentserver.cpp,paymentserver.cpp,148,3384,74
peertablemodel.cpp,peertablemodel.cpp,88,960,45
platformstyle.cpp,platformstyle.cpp,116,496,112
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,4,476,3
qvaluecombobox.cpp,qvaluecombobox.cpp,4,112,3
receivecoinsdialog.cpp,receivecoinsdialog.cpp,4,2864,3
receiverequestdialog.cpp,receiverequestdialog.cpp,4,1640,3
recentrequeststablemodel.cpp,recentrequeststablemodel.cpp,4,1960,3
rpcconsole.cpp,rpcconsole.cpp,380,3300,92
sendcoinsdialog.cpp,sendcoinsdialog.cpp,60,4424,25
sendcoinsentry.cpp,sendcoinsentry.cpp,4,2132,3
signverifymessagedialog.cpp,signverifymessagedialog.cpp,4,1868,3
splashscreen.cpp,splashscreen.cpp,44,684,32
trafficgraphwidget.cpp,trafficgraphwidget.cpp,4,1140,3
transactiondesc.cpp,transactiondesc.cpp,4,1720,3
transactiondescdialog.cpp,transactiondescdialog.cpp,4,360,3
transactionfilterproxy.cpp,transactionfilterproxy.cpp,4,1092,3
transactionrecord.cpp,transactionrecord.cpp,4,564,3
transactiontablemodel.cpp,transactiontablemodel.cpp,696,4044,224
transactionview.cpp,transactionview.cpp,4,3524,3
utilitydialog.cpp,utilitydialog.cpp,1416,2608,1412
walletframe.cpp,walletframe.cpp,4,1436,3
walletmodel.cpp,walletmodel.cpp,140,3528,136
walletmodeltransaction.cpp,walletmodeltransaction.cpp,4,992,3
walletview.cpp,walletview.cpp,4,4344,3
winshutdownmonitor.cpp,winshutdownmonitor.cpp,4,4,4
compattests.cpp,compattests.cpp,4,64,3
paymentservertests.cpp,paymentservertests.cpp,32,1392,26
test_main.cpp,test_main.cpp,172,116,26
uritests.cpp,uritests.cpp,4,32,3
blockchain.cpp,blockchain.cpp,2168,1540,449
client.cpp,client.cpp,220,144,114
mining.cpp,mining.cpp,1676,1584,334
misc.cpp,misc.cpp,620,396,94
net.cpp,net.cpp,668,41244,38
net.cpp,net.cpp,668,496,124
protocol.cpp,protocol.cpp,380,13068,37
protocol.cpp,protocol.cpp,380,260,136
rawtransaction.cpp,rawtransaction.cpp,1176,984,235
server.cpp,server.cpp,640,548,130
util.cpp,util.cpp,196,14456,32
bitcoinconsensus.cpp,bitcoinconsensus.cpp,236,400,93
interpreter.cpp,interpreter.cpp,1848,3504,516
ismine.cpp,ismine.cpp,172,332,30
script.cpp,script.cpp,16,3096,12
script_error.cpp,script_error.cpp,28,860,15
sigcache.cpp,sigcache.cpp,28,180,10
sign.cpp,sign.cpp,780,636,148
standard.cpp,standard.cpp,720,596,246
cleanse.cpp,cleanse.cpp,28,1800,14
DoS_tests.cpp,DoS_tests.cpp,76,60,59
addrman_tests.cpp,addrman_tests.cpp,148,76,59
allocator_tests.cpp,allocator_tests.cpp,8,96,5
amount_tests.cpp,amount_tests.cpp,4,4,4
arith_uint256_tests.cpp,arith_uint256_tests.cpp,844,844,844
base32_tests.cpp,base32_tests.cpp,4,4,4
base58_tests.cpp,base58_tests.cpp,8,24,7
base64_tests.cpp,base64_tests.cpp,4,4,4
bip32_tests.cpp,bip32_tests.cpp,112,108,81
blockencodings_tests.cpp,blockencodings_tests.cpp,124,124,124
bloom_tests.cpp,bloom_tests.cpp,4,4,4
bswap_tests.cpp,bswap_tests.cpp,4,4,4
coins_tests.cpp,coins_tests.cpp,664,24,20
compress_tests.cpp,compress_tests.cpp,52,52,52
crypto_tests.cpp,crypto_tests.cpp,8,8,8
crypto_tests.cpp,crypto_tests.cpp,8,452,5
dbwrapper_tests.cpp,dbwrapper_tests.cpp,40,40,40
getarg_tests.cpp,getarg_tests.cpp,32,32,32
hash_tests.cpp,hash_tests.cpp,8,8,8
key_tests.cpp,key_tests.cpp,40,40,40
limitedmap_tests.cpp,limitedmap_tests.cpp,4,4,4
main_tests.cpp,main_tests.cpp,124,124,124
mempool_tests.cpp,mempool_tests.cpp,4,4,4
merkle_tests.cpp,merkle_tests.cpp,364,364,364
miner_tests.cpp,miner_tests.cpp,1552,1504,1483
multisig_tests.cpp,multisig_tests.cpp,4,4,4
net_tests.cpp,net_tests.cpp,164,156,54
netbase_tests.cpp,netbase_tests.cpp,60,4,3
pmt_tests.cpp,pmt_tests.cpp,36,36,36
policyestimator_tests.cpp,policyestimator_tests.cpp,4,4,4
pow_tests.cpp,pow_tests.cpp,4,4,4
prevector_tests.cpp,prevector_tests.cpp,8,8,8
reverselock_tests.cpp,reverselock_tests.cpp,4,4,4
rpc_tests.cpp,rpc_tests.cpp,72,88,55
sanity_tests.cpp,sanity_tests.cpp,4,4,4
scheduler_tests.cpp,scheduler_tests.cpp,100,100,100
script_P2SH_tests.cpp,script_P2SH_tests.cpp,44,44,44
script_tests.cpp,script_tests.cpp,88,88,88
scriptnum_tests.cpp,scriptnum_tests.cpp,700,1044,121
serialize_tests.cpp,serialize_tests.cpp,100,4,3
sighash_tests.cpp,sighash_tests.cpp,260,260,260
sigopcount_tests.cpp,sigopcount_tests.cpp,4,4,4
skiplist_tests.cpp,skiplist_tests.cpp,4,4,4
streams_tests.cpp,streams_tests.cpp,4,4,4
test_bitcoin.cpp,test_bitcoin.cpp,52,672,22
timedata_tests.cpp,timedata_tests.cpp,4,4,4
transaction_tests.cpp,transaction_tests.cpp,128,112,61
txvalidationcache_tests.cpp,txvalidationcache_tests.cpp,472,112,108
uint256_tests.cpp,uint256_tests.cpp,1600,1600,1600
util_tests.cpp,util_tests.cpp,1184,8,5
miner_tests.cpp,miner_tests.cpp,1552,1504,1483
univalue.cpp,univalue.cpp,1836,2752,1770
univalue_read.cpp,univalue_read.cpp,5360,5332,3707
univalue_write.cpp,univalue_write.cpp,3372,3372,3372
unitester.cpp,unitester.cpp,5312,5284,4597
crypter.cpp,crypter.cpp,144,1468,76
db.cpp,db.cpp,552,2512,529
init.cpp,init.cpp,448,44068,34
rpcdump.cpp,rpcdump.cpp,2312,3200,92
rpcwallet.cpp,rpcwallet.cpp,5404,5844,164
wallet.cpp,wallet.cpp,448,260,120
walletdb.cpp,walletdb.cpp,1076,1160,302
accounting_tests.cpp,accounting_tests.cpp,36,40,33
crypto_tests.cpp,crypto_tests.cpp,112,8,5
crypto_tests.cpp,crypto_tests.cpp,112,452,44
wallet_test_fixture.cpp,wallet_test_fixture.cpp,4,4,4
wallet_tests.cpp,wallet_tests.cpp,200,148,138
zmqabstractnotifier.cpp,zmqabstractnotifier.cpp,4,172,3
zmqnotificationinterface.cpp,zmqnotificationinterface.cpp,16,576,12
zmqpublishnotifier.cpp,zmqpublishnotifier.cpp,220,932,127
